,位置,名称,建筑面积(平方米),总价（元）,户型,朝向,楼层,每平米售价（元）,装修情况
659,番禺,海伦堡御院 精致装修三房 诚心放卖,114,3380000,3室2厅,西南,中层/7层,29649,精
660,番禺,敏捷锦绣世家 装修保养好 格局方正  新小区 欢迎咨询,95,2520000,3室2厅,北,低层/18层,26526,精
661,番禺,桥华楼 配套齐全 南北通透 可公积金 随时可看,57,1280000,2室1厅,南,低层/7层,22456,普通
662,天河,嘉裕公馆 红本在手，温馨四房出售,153.1,14690000,3室2厅,西,高层/33层,95950,豪华
663,海珠,燕子岗路 正规大两房 通风采光好,67,2000000,2室2厅,西北,高层/9层,29851,普通
664,天河,嘉裕公馆 处CBD中轴地带，与七大地 标建筑为邻 值得拥有,154.22,14000000,4室2厅,北,低层/33层,90779,精
665,天河,雅怡阁 东圃精装两房 业主诚心出售 过五年免重税,74.83,2800000,2室2厅,南,高层/21层,37418,精
666,黄埔,榕景园 框架南向三房  交通便利 配套齐全,86.3,3150000,3室2厅,南,低层/9层,36501,精
667,番禺,敏捷锦绣世家 精致装修1室1厅新净整洁,39.5,1350000,1室1厅,南,中层/18层,34177,精
668,天河,华景新城6期 东南向精装三房 视野开阔 无遮挡 通风采光,107,5650000,3室2厅,东南,高层/32层,52804,精
669,番禺,金海岸花园二期 精装复式5房 保养好 卧室朝南 环境优雅 品质小区,180,5900000,5室2厅,南北,高层/9层,32778,精
670,番禺,洛涛居南区 望湖单位 紫气东来 风生水起 从此财源滚进,84,3600000,4室2厅,北,高层/6层,42857,精
671,番禺,大西路 大西路全新装修三房,90,1450000,3室1厅,南,高层/7层,16111,普通
672,番禺,彩晴轩 近地铁电梯南北对流的大三房 安静舒适采光好 随时看,98.5,3000000,3室2厅,北,低层/8层,30457,精
673,天河,中海康城 精致两房 店内有钥匙 可随时看房哦,76,2650000,2室2厅,北,低层/20层,34868,精
674,黄埔,金碧领秀国际 金碧领秀单间出售带怡园价格可谈,38.38,1700000,1室1厅,南北,高层/33层,44294,普通
675,番禺,奥园养生广场 单身公寓不限购,36.35,720000,1室0厅,北,中层/29层,19807,普通
676,海珠,海富花园 正规两房 装修保养比较好  看房方便 ,63,2480000,2室1厅,东,高层/10层,39365,豪华
677,番禺,光明南路 近地铁周围配套齐全 格局方正3房,76,1500000,3室1厅,东北,中层/7层,19737,豪华
678,番禺,康裕大厦 房型正 一梯两户 两房朝南 近地铁 主卧朝南,97,2800000,2室2厅,东,中层/17层,28866,精
679,番禺,雅居乐花园 天域5房 客厅空旷 全明户型 可做商业 瑜伽等 ,212,7630000,5室1厅,南,低层/20层,35991,精
680,番禺,尚东尚筑 精装3房，南北对流，楼层好，采光佳，近地铁,90.27,3200000,3室2厅,北,高层/17层,35449,精
681,海珠,翠城花园 翠城3房2厅，双阳台,95,5100000,3室2厅,南,高层/33层,53684,精
682,海珠,华乐苑 电梯一房一厅 格局方正 南北对流 高层景观 安静！,52,2350000,6室2厅,北,高层/9层,45192,普通
683,天河,利汇名悦大厦 4房2厅 210平 精装装修 ,210,15500000,4室2厅,南,高层/32层,73810,精
684,番禺,奥园广场 成熟生活 小复式 拎包入住1房 温馨宜居,37.5,800000,1室0厅,南,高层/22层,21333,豪华
685,天河,中海璟晖华庭 2房2厅1卫全新未住过人看房方便,88,8100000,2室2厅,北,中层/32层,92045,普通
686,黄埔,万科城市花园 顶楼复式 带私人空中超大平台 好房子 稀有 ,100,5600000,4室2厅,东北,高层/18层,56000,普通
687,天河,加拿大花园  中高楼层视野超级好 幼儿园到中学一步到位 二房,67,3100000,2室2厅,北,高层/23层,46269,普通
688,番禺,敏捷锦绣世家 南北对流，大三房带主套，豪装保养好，电梯高层，,130.81,3800000,3室2厅,南,高层/18层,29050,精
689,天河,中海康城 三期两房 精装修 光线通风好  婚房佳选,76.17,2950000,2室2厅,北,低层/21层,38729,精
690,番禺,华侨城 步梯低楼层，温馨两房，家具电齐全 ,66.3,1550000,2室1厅,南,中层/8层,23379,精
691,海珠,江燕路 温馨实用两房 近地铁 周边配套设施齐全,50.23,1650000,2室1厅,南,中层/9层,32849,普通
692,番禺,雅居乐锦官城 毛坯房根据你自己喜欢的风格设计,98.9,3000000,3室2厅,北,高层/18层,30334,毛坯
693,黄埔,海关小区 北向三房 户型方正实用  周边配套齐全,91.55,2900000,3室2厅,北,中层/30层,31676,普通
694,番禺,番禺桥东大厦 广州南站 舒适大三房 3号地铁直达南站,75.6,1480000,2室1厅,北,低层/8层,19577,普通
695,海珠,南景园 实用大4房 采光通风好 户型方正 东南靓向 ,125,5880000,4室2厅,南,中层/18层,47040,精
696,番禺,奥园广场 业主急需资金回笼 忍痛卖掉小两房公寓 降价40万,110,1450000,2室1厅,南,中层/25层,13182,精
697,番禺,倚湖湾 精致装修 3室 中高层 视野广阔 家电齐全拎包入住,124,4380000,3室2厅,南,中层/33层,35323,精
698,天河,华景新城5期 三房 安静不吵 望花园 近地铁 配套成熟 看房方便,97,4100000,3室2厅,北,高层/9层,42268,普通
699,天河,凯旋新世界 1房1厅成功人士的象征,79,7900000,1室2厅,东,高层/18层,100000,豪华
700,黄埔,海关小区 带省级怡园东校区 精装三房 厅出阳台周边配套齐全,93,3000000,3室2厅,西,高层/30层,32258,精
701,番禺,中环品悦 精装两房两厅，看上速联,82.3,2820000,2室2厅,西南,高层/19层,34265,精
702,番禺,赏心园 星河湾 业主2018年全屋刚装修完 带家电家私出售,140,6300000,3室2厅,南北,低层/9层,45000,普通
703,海珠,南景园 两房两厅，适合小家庭,68,2750000,2室2厅,西南,低层/18层,40441,精
704,番禺,锦绣半岛 顶楼复式 大阳台 环境安静舒适,80,4500000,5室2厅,东北,中层/28层,56250,精
705,番禺,雅居乐锦官城 高层单位 精装修，户型方正，家私家电全送高层单位,131,3900000,4室2厅,南,高层/18层,29771,普通
706,番禺,锦绣半岛 豪华一线江景房    南北对流   送全屋家私家电,211.29,7500000,4室2厅,南,中层/26层,35496,豪华
707,黄埔,黄埔花园 精致一室一厅 业主诚心出售 便宜出售266万急售,62,2660000,1室1厅,东北,中层/25层,42903,普通
708,天河,朱美拉公寓 珠江新城中区地段，眺望海心沙。,69,5200000,1室1厅,东,高层/39层,75362,精
709,番禺,东方花园三区 东方花园三区，南向两房，证过五年，入读省级小学,66,1800000,2室2厅,南,高层/8层,27273,普通
710,天河,中海康城 中海康城高楼层精装两房 楼距宽视野开阔 位置好安静,76,3100000,2室2厅,南,高层/12层,40789,豪华
711,番禺,宝翠苑 宝翠苑精致三房采光充足随时看房,99.7,2500000,3室2厅,西,中层/6层,25075,普通
712,番禺,富海居 富海居 复式四房 南向双阳台 采光通透 视野开阔 ,130,3300000,4室2厅,南,高层/7层,25385,普通
713,天河,中海康城 精致三房 高楼层 随时看房 业主诚信出售 ,115,5000000,3室2厅,北,高层/21层,43478,精
714,番禺,雅居乐花园 邻居 小区低价 干净舒适 看房随时 保养新 房型正,134,4500000,3室2厅,西,高层/11层,33582,精
715,番禺,雅居乐锦官城星汇 大三房 品质小区 环境安逸,96,2850000,3室2厅,北,中层/18层,29688,精
716,海珠,经典居 可办公可自主，商住二合一，交通便利，电梯南向两房,70,3300000,2室1厅,南,低层/32层,47143,精
717,天河,嘉裕公馆 北向高层4房望小区花园证过2年红本在手看房方便,175,17000000,4室2厅,北,中层/33层,97143,精
718,番禺,喜盈雅境北苑 商住两用 配套完善，生活便利,65,1900000,1室1厅,南,中层/12层,29231,精
719,天河,华景新城芳满庭园 精装修  南向三房两厅  业主诚心出售,97,5700000,3室2厅,南,中层/36层,58763,普通
720,海珠,第二金碧花园 厅出阳台户型方正业主自住保养新净,66,2850000,2室2厅,北,低层/33层,43182,普通
721,番禺,锦绣半岛 西区双证全新一手楼   装修风格随意  一线江景房,169,4500000,5室2厅,西南,高层/28层,26627,精
722,番禺,万科欧泊 中高楼层 东南向 保养好 采光好 万博CBD板块,94,4300000,3室2厅,东南,中层/39层,45745,精
723,天河,华景里 复式一房 保养新 安静不吵 ,43.43,2300000,1室2厅,西,中层/22层,52959,精
724,天河,名门大厦 四房三厅复式 精致装修 现在用于办公,156,6000000,4室3厅,北,高层/33层,38462,普通
725,天河,加拿大花园 92平方 高性价比 产权清晰东南向 天河区买少见少,92.6,3950000,2室2厅,东南,中层/25层,42657,普通
726,番禺,尚东尚筑  南北对流，空气新鲜。交通方便，环境优雅 采光通透,144.5,4500000,4室2厅,南北,低层/18层,31142,豪华
727,番禺,侨基花园 配套成熟 南北对流 交通便利 采光好,66,1680000,2室1厅,西南,中层/33层,25455,普通
728,番禺,万科欧泊 电梯三房 送全屋家私家电 拎包即可入住,80,3800000,2室2厅,西北,中层/32层,47500,普通
729,番禺,侨联大街  客厅朝南 拎包入住 视野好  近地铁 主卧朝南,39,890000,2室1厅,南,高层/5层,22821,精
730,天河,华工南新村小区 中等装修家电齐全景观好幽静舒适睇楼方便,85,5800000,3室1厅,南,中层/9层,68235,精
731,番禺,万科欧泊 普装三房两厅，看上速联,95,4400000,3室2厅,西,低层/35层,46316,普通
732,番禺,万科欧泊 普装两房出售，价格不错，可谈,74,3900000,2室1厅,东南,低层/32层,52703,普通
733,番禺,迎风阁 祈福新村迎风阁 保养靓采光好 产权清晰少税 看房,128.55,4300000,3室2厅,西南,低层/32层,33450,精
734,番禺,锦绣半岛 东南朝向，间隔方正实用！,82,2900000,2室2厅,南,中层/20层,35366,普通
735,番禺,雅居乐花园 低税房源 过2  低于市场价  保养好,88,3100000,3室2厅,西北,低层/11层,35227,精
736,天河,盈彩美居菁品园 三室两厅，南北通透,91,4000000,3室2厅,北,中层/18层,43956,普通
737,番禺,自在城市花园 长隆边  园中园精装三房 望园景,104.65,3100000,3室2厅,北,中层/10层,29623,精
738,番禺,朗陶居 精装大三房，带花园，过五，家电家私可全送，随时看房,113.5,3200000,3室2厅,南,低层/6层,28194,精
739,天河,跑马地花园 大两房两厅高层 户型方正 笋价放售,80,4600000,2室2厅,东南,高层/32层,57500,精
740,天河,中海璟晖华庭 高楼层精装三房看房方便,114,10500000,3室2厅,北,高层/32层,92105,普通
741,萝岗,金晖苑 南向两房 即买即住 带省级学校 业主换房诚心出售 ,64.21,1550000,2室2厅,南,中层/9层,24140,精
742,番禺,珠江花园 三层别墅  总价低  南向光线好 双阳台近江边 ,180,8000000,4室2厅,南,共1层,44444,精
743,番禺,康裕大厦 康裕大厦 精装3房 电梯中高楼层可入读省一级市桥,102,3600000,3室2厅,东,高层/17层,35294,精
744,海珠,金碧花园 双地铁  房本满五年 随时看房,63,2500000,2室2厅,北,低层/22层,39683,普通
745,海珠,金碧花园  精装装修 双地铁 房本满两年 随时看房,78,3300000,2室2厅,南,高层/32层,42308,精
746,番禺,番禺奥园 四房 精装修 南向 证过五 ,108,2800000,4室2厅,南北,高层/6层,25926,精
747,番禺,奥园养生广场 奥园养生广场 毛坯2房 业主去上海发展急卖 欢迎来,82.35,1150000,2室1厅,东南,高层/29层,13965,毛坯
748,番禺,祈福水城 抢手货 精装三房 通透舒适 小资格调,92,2500000,3室2厅,北,高层/11层,27174,精
749,番禺,东瀚园 番禺广场旁电梯两房两卫,97,3400000,2室2厅,北,高层/9层,35052,精
750,番禺,雅居乐花园 时光九篇 带入户花园 房型正 阳光户型 中层有钥匙,151,5700000,4室2厅,西,中层/11层,37748,精
751,天河,加拿大花园 东南靓户型 采光好 花园小区 生活便利,92,4350000,3室2厅,东南,低层/28层,47283,普通
752,番禺,雅居乐花园 新地，精装修5房带主套 带车位 视野超好,190,7600000,5室2厅,西南,低层/18层,40000,豪华
753,番禺,招商城市主场 大单间，装修讲究，精致的房子,39,1000000,1室0厅,东,高层/14层,25641,精
754,黄埔,万科城市花园 三房一厅 万科 文冲口 采光通风好 急售,111.82,4550000,3室1厅,南,高层/11层,40689,精
755,海珠,金碧花园 金碧花园都市广场 精装一房 带阳台 保养新净 业 ,86,4150000,3室2厅,东,高层/22层,48256,普通
756,天河,翰景轩 107方  3房,107,5650000,3室2厅,南,中层/14层,52804,普通
757,番禺,环城西路 坏境安静，舒适，有家的感觉,88,1880000,3室1厅,南,中层/7层,21364,普通
758,番禺,江南商住城  采光好格局方正 交通便利 配套成熟,107,1800000,3室1厅,南,中层/8层,16822,普通
759,番禺,侨宫苑 步梯低楼层三房  全新装修  南北通透  采光好,108,2280000,3室2厅,南,低层/8层,21111,精
760,天河,华景新城2期 华景新城二期 格局方正 东南向二房,69,3300000,2室2厅,南,低层/9层,47826,精
761,番禺,雅居乐花园 普装三房两厅出售,131,4980000,3室2厅,南,中层/11层,38015,普通
762,番禺,锦绣半岛 双证大三房 望花园安静舒适 采光通风,118,3300000,3室2厅,西,低层/26层,27966,精
763,番禺,繁华路 管理小区 实用两房 南北对流采光好 配套完善,66,1280000,2室1厅,南,高层/7层,19394,普通
764,天河,保利心语花园 三房 临地铁5号线猎德 总价还可在谈 ,109.46,9200000,3室2厅,北,中层/32层,84049,精
765,番禺,美心花园 200万,88,2000000,3室2厅,东南,中层/7层,22727,精
766,番禺,东倩园 东倩园新装修的房子，精致两房！采光很好,86,2600000,2室1厅,南北,低层/7层,30233,普通
767,番禺,荷景二区 中层南向 豪装3房 看房方便 随时看房 ,99,1980000,3室2厅,南北,中层/6层,20000,豪华
768,黄埔,金碧世纪花园 精致大三房 业主诚心出售 价钱可议,100,3850000,4室2厅,北,低层/17层,38500,普通
769,番禺,花样年华三期 电梯 中高层 实验小学 业主诚心放卖,125,3380000,3室2厅,东南,中层/18层,27040,普通
770,天河,加拿大花园 现代新潮风 厅出阳台  花园小区  价格适中 ,69.5,3100000,2室2厅,西,低层/22层,44604,普通
771,天河,尚东美御 东向望花园 装修保养好 跟新装修差不多 风景采光好,140,11900000,3室2厅,东,中层/32层,85000,普通
772,天河,华师职工宿舍 普通装修， 3室2厅， 103m²	高层 /3,110,7400000,3室2厅,东南,高层/30层,67273,普通
773,天河,翠屏富通雅苑 精装修三房 三房 超 级实用 送入户花园 产权清晰,90,3800000,3室2厅,北,低层/15层,42222,普通
774,天河,珠江俊园 精装修三房近BRT ，地铁开通在即成熟配套,107,6500000,3室2厅,西,低层/28层,60748,普通
775,白云,汇侨新城东区 新市百信广场附近汇侨新城东区 视野开阔 小区绿化好,58,1380000,1室1厅,东,高层/9层,23793,精
776,黄埔,海关小区 怡园小学的四房 交通便利 配套齐全 业主急售,115.53,3500000,4室2厅,东,低层/9层,30295,精
777,番禺,洛涛居南区 实用2房，小区环境舒适,61,2090000,2室2厅,东北,低层/6层,34262,普通
778,番禺,雅居乐锦官城星汇 桥南环境优雅豪华装修,96,2780000,3室2厅,北,低层/18层,28958,豪华
779,番禺,奥园广场 采光佳 视野开阔 小区中间位 装修保养好,110.15,1650000,2室1厅,南,高层/25层,14980,精
780,海珠,第二金碧花园 双地铁 房本满五年 随时看房,82,3700000,3室2厅,西,低层/33层,45122,精
781,番禺,万科欧泊 豪装复式三房 超大使用面积 证过2年万科就此一套 ,95,7200000,3室2厅,南,高层/34层,75789,精
782,番禺,雅居乐花园 使用率100免税 简约不简单 斯是陋室唯吾得馨  ,143,7000000,4室2厅,西南,中层/18层,48951,精
783,番禺,德兴园 入读省级小学  紧靠地铁 温馨小3房 拎包入住,90.7,2400000,3室2厅,南,中层/7层,26461,精
784,天河,华景新城6期 超笋三房，低于市价，业主急卖腾名额 华景小学,78,3750000,3室1厅,东北,高层/31层,48077,普通
785,海珠,晓阳阁 两房一厅，适合小家庭居住,50,1500000,2室1厅,南,中层/9层,30000,精
786,海珠,礼岗路 礼岗路小区 中楼层两房 业主急卖 送入户花园,71,2400000,2室1厅,南,中层/9层,33803,精
787,天河,历德雅舍 天河公园旁 南向望天河公园 自住装修保养好看房方便,113,8000000,3室2厅,南,高层/18层,70796,普通
788,番禺,华景新城  采光极好 交通便利 标准3室 无遮挡 宽敞明亮,97,2450000,3室1厅,西,低层/7层,25258,精
789,天河,骏逸苑 安静小区 南向四房,134,8000000,4室2厅,南,低层/9层,59701,精
790,番禺,西环路裕兴大厦 交通便利 环境优雅安静 诚意出售,87,1950000,3室2厅,东南,中层/19层,22414,普通
791,黄埔,金碧世纪花园 厅直出阳台大两房望泳池,72,2760000,2室1厅,北,低层/17层,38333,精
792,海珠,盈丰华轩 干净电梯实用2房 采光通风好 交通便利 看房方便 ,64,2700000,2室2厅,西,高层/19层,42188,精
793,番禺,雅居乐花园 十年小雅 次新房 目前空管 全明户型 看房方便,149,6500000,5室2厅,东北,低层/32层,43624,普通
794,番禺,海滨大厦 海滨大厦 近地铁 成熟社区 电梯高层望江景,148,2800000,3室2厅,东南,低层/14层,18919,精
795,番禺,奥园养生广场 1房1厅 54平 精装装修 南,54,1080000,1室1厅,南,中层/29层,20000,精
796,番禺,环城西路 中层南向温馨两房 安静舒适采光足 随时看房,61.3,1080000,2室1厅,南,高层/5层,17618,普通
797,天河,华景新城5期 精装三房 通风采光好 安静不吵 保养新 ,91,4900000,3室1厅,西南,低层/18层,53846,精
798,黄埔,悦时代花园 交通方便  配套成熟,94,3800000,3室2厅,东北,高层/33层,40426,精
799,海珠,南珠广场北区 近地铁  采光通风好 户型方正,66.5,2750000,2室1厅,东,低层/9层,41353,精
800,海珠,江南雅居 精装两房 厅出阳台 可直接望达镖  格局方正,80,3600000,2室1厅,北,高层/27层,45000,普通
801,天河,华景新城4期 准电梯房东北朝向安静不吵价格实惠保养好,82,3500000,3室2厅,东北,高层/9层,42683,精
802,番禺,万科欧泊 精装大单间，看上速联,39,1000000,1室0厅,西,中层/10层,25641,精
803,番禺,雅居乐花园 浅山小筑 地铁7号线员岗站丶望别墅采光好,106,4250000,3室2厅,南,中层/11层,40094,精
804,天河,喜洋居 交通便利 产权清晰 过五年 地铁即将开通,137,6850000,4室2厅,南,高层/21层,50000,普通
805,番禺,锦绣半岛 精致3房带阳台好景东南向,93.67,3100000,3室2厅,东,高层/28层,33095,精
806,番禺,奥园养生广场 一房一厅全新家私 新装修,58.4,1000000,1室1厅,北,高层/29层,17123,精
807,番禺,锦绣半岛 西式豪华装修，望江望花园,220,6800000,4室2厅,西南,高层/26层,30909,豪华
808,白云,富力阳光美居 黄石 复试精装五房 望花园 高楼层 看房方便,175,5800000,5室1厅,北,高层/15层,33143,精
809,番禺,富庭东园 正南向，大两房，小区物业，低于市场价 懂货的来,61,1880000,2室1厅,南,高层/7层,30820,普通
810,番禺,A区第17街 温馨大两房，交通方便，看房随时约,66,1700000,2室2厅,南,高层/3层,25758,精
811,番禺,雅居乐花园 浅山小筑正规三房 双阳台 望别墅 景观好 看房方便,98.07,3830000,3室2厅,北,低层/11层,39054,普通
812,黄埔,黄埔花园 精致一室一厅业主诚心出售便宜出售280万急售,62,2800000,1室1厅,东北,低层/24层,45161,普通
813,海珠,柏蕙花园 下渡路闹中带静。房子望花园。,101,5050000,3室2厅,北,低层/16层,50000,精
814,番禺,奥园养生广场 交通便利，出行安全，专人管理,82.7,1600000,2室1厅,东北,中层/29层,19347,精
815,番禺,华侨城 电梯直上实用三房,108,2550000,4室2厅,西南,中层/11层,23611,精
816,番禺,越秀可逸江畔 越秀可逸江畔 毛坯 5室2厅1厨3卫 188方,188.02,7000000,5室2厅,东南,高层/13层,37230,毛坯
817,黄埔,东港花园 温馨三房，性价比高，精装修，近地铁、BRT。,98.75,3580000,3室2厅,北,高层/11层,36253,精
818,天河,加拿大花园  业主自住 电梯中层 看房电约,98,3900000,3室1厅,东南,高层/6层,39796,普通
819,番禺,怡乐社区 近地铁  精装修二房  交通方便  配套完善 ,85.9,2000000,2室2厅,南,中层/7层,23283,精
820,天河,加拿大花园 二房可改三房 精装修可拎包入住 高层视野 省级学校,85.6,3600000,2室2厅,东北,高层/25层,42056,精
821,海珠,富力顺意花园 中层2房 优质花园 采光通风一流 看房方便,81.81,3900000,2室2厅,西北,中层/23层,47671,精
822,番禺,华景新城 复式别墅风格 光线通透 超大三房 带花园平台 ,124,2700000,3室1厅,北,高层/7层,21774,普通
823,番禺,锦绣半岛 西区大四房   南北对流   望江望花园,171,6000000,4室2厅,南,低层/26层,35088,精
824,番禺,君华香柏广场 番禺市桥南 君华香柏华府 96方四房 带入户花园 ,90,2650000,4室2厅,北,中层/32层,29444,毛坯
825,天河,广深铁路员工宿舍 精装修 东南向 大平台 电梯房,91,4300000,3室2厅,东南,中层/9层,47253,精
826,番禺,西城路 精装两房两厅，看上速联,81,1480000,3室2厅,南,中层/9层,18272,普通
827,番禺,雅居乐锦官城 电梯精致装修四房单位，拎包入住,131,3900000,4室2厅,东南,高层/18层,29771,精
828,天河,华景新城泽晖苑 电梯三房 交通便利 繁华地段 素质住户,96.4,5500000,3室2厅,南,低层/9层,57054,普通
829,天河,中海康城 电梯高层南向精装两房 免装修 可拎包入住厅大房大 ,80.5,3700000,2室2厅,南,中层/12层,45963,精
830,天河,盈彩美居 业主诚售急售 采光好 产权清晰 看房方便 ,108,4750000,3室2厅,南,低层/12层,43981,普通
831,天河,加拿大花园 精装修62方两房望花园随时看房业主诚意出售,62.5,3300000,2室1厅,东,低层/23层,52800,精
832,番禺,东晟明珠花园 豪装大两房电梯中高层安静,104,4400000,2室2厅,南,中层/25层,42308,豪华
833,海珠,海富花园 低楼层  南北对流 ,48,2500000,1室1厅,南,低层/10层,52083,精
834,番禺,流金岁月 豪装三房带车位,115,4100000,3室2厅,西南,低层/26层,35652,豪华
835,黄埔,石化大院 好房子，好机会只留给有准备的人,72.16,1200000,1室1厅,南,中层/5层,16630,普通
836,番禺,康乐园 精致装修 带学校 诚心出售中,101.5,2680000,3室2厅,南,高层/7层,26404,精
837,番禺,奥园养生广场 采光佳 视野开阔 小区中间位 装修保养好,36,550000,1室0厅,北,低层/29层,15278,精
838,白云,金碧新城花园 小区环境优美 游泳池 停车方便 带大平台 看房约我,72,2500000,2室1厅,东北,低层/18层,34722,精
839,番禺,华荟南景园 实验小学  靓装两房,76.83,2350000,2室1厅,东北,中层/16层,30587,精
840,番禺,怡乐社区 近地铁物业 省级学校 产权清晰 过五低税 急售,135.9,2880000,3室2厅,南,中层/6层,21192,普通
841,番禺,尚岛国际 地铁旁稀有小户型个人可买反租3000,22,280000,1室0厅,北,低层/15层,12727,普通
842,天河,华景新城陶然庭苑 户型方正，保养好要求不高可拎包入住,78,4100000,2室2厅,北,中层/35层,52564,精
843,番禺,君华御府 君华御府 复式 4室2厅1厨2卫 77.75m²,77.75,2900000,4室2厅,东南,高层/32层,37299,毛坯
844,天河,汇峰苑 公寓一房 少税 产权清晰 户型方正实用,45,4000000,1室0厅,南,中层/43层,88889,精
845,番禺,西城花园 实用三房，正南向,86,1800000,3室2厅,南,高层/7层,20930,精
846,番禺,市桥解放路   精致全新装修 三房三楼 南阳里小学,83,1380000,3室1厅,南,中层/7层,16627,精
847,黄埔,金碧领秀国际 3房2厅 110平 精装装修 北,110,4400000,3室2厅,北,低层/33层,40000,精
848,番禺,C区第22街 业主急售  二楼的68方眼睛房 保养好 领包入住,68,1680000,2室2厅,北,中层/3层,24706,普通
849,番禺,西城花园 南向少有房源   保养好  中层 ,120,2650000,3室2厅,南,中层/6层,22083,普通
850,番禺,华景新城 三房带主套，实验小学，楼层低,96.1,2500000,3室2厅,南,中层/7层,26015,普通
851,天河,名门大厦  精致装修 2室 业主诚心放售,81,5000000,2室1厅,东,中层/33层,61728,精
852,番禺,奥园养生广场 2房1厅82平精装装修东北仅售130万,82,1300000,2室1厅,南,高层/29层,15854,精
853,番禺,华景新城 普通装修 3室2厅0厨2卫 104m² 3层/7层,103.4,2680000,3室2厅,南,中层/7层,25919,普通
854,番禺,锦绣半岛 精装3房，保养好,133,5000000,3室2厅,北,中层/28层,37594,精
855,番禺,翡翠明庭 地铁附近便宜大三房 装修新保养好 手快有 ,102.8,2550000,3室2厅,北,高层/6层,24805,普通
856,番禺,汇景大道 汇庭雅苑旁边绿庭雅苑对面2室2厅1厨1卫 70m²,70,1680000,2室2厅,南,高层/6层,24000,精
857,黄埔,金碧世纪花园 2房2厅 72平 精装装修 北,72,2850000,2室2厅,北,低层/17层,39583,精
858,天河,嘉裕公馆 高端小区  三房两卫,157,16000000,3室1厅,西,中层/33层,101911,精
859,番禺,雅居乐花园 新地西南 3房2卫 格局方正 装修保养好 免税 ,96,4000000,3室2厅,西,低层/11层,41667,普通
860,天河,中海观园国际 5房2厅 247.3平 豪华装修 南北,247.3,25000000,5室2厅,南北,低层/43层,101092,豪华
861,番禺,东苑小区 近番禺广场  大方数  精装修 配套完善 看房方便,82,1500000,3室1厅,南,中层/8层,18293,精
862,番禺,华侨城 华侨城 品质小区 低首付低楼层低税费近地铁 配套齐,78.9,2050000,2室1厅,南,中层/13层,25982,精
863,番禺,万科金色城品 复式大4房 买一楼送一楼 正南向望泳池  业主诚意,72,3800000,4室2厅,东南,中层/8层,52778,毛坯
864,番禺,北城白云花园 地铁附近 精装电梯三房 园林小区 近学校,112,3300000,3室2厅,北,低层/16层,29464,普通
865,海珠,第二金碧花园 方正实用 厅直出阳台 高层望广州塔,67,2650000,2室2厅,南,高层/33层,39552,普通
866,天河,嘉裕公馆 高端小区  精致装修  ,120,12000000,3室2厅,北,中层/33层,100000,精
867,黄埔,万科城市花园 配套成熟 交通方便3房,100,3630000,3室1厅,东北,低层/11层,36300,精
868,天河,天一庄 天河公园地铁站傍 西边间 大三房 小高层电梯,113.2,6000000,3室2厅,西北,高层/19层,53004,精
869,番禺,雅居乐花园 正南向高层 免税房源 装修保养好 ,101.27,3750000,3室2厅,南,高层/13层,37030,精
870,天河,朱美拉公寓 南向高层电梯洋房厅出阳台望小蛮腰景观好,141,13000000,3室2厅,南,中层/45层,92199,精
871,海珠,金碧花园 一期南向两房 单边位 望花园  出行方便,70,3000000,2室1厅,南,中层/22层,42857,精
872,天河,珠江俊园 东南向大四房，带有100平方的私家大平台业主急售,144,8650000,4室2厅,东南,高层/28层,60069,普通
873,番禺,锦绣半岛 西区大五房   一线江景房   全新一手楼,168,4700000,5室2厅,西南,高层/28层,27976,毛坯
874,天河,铂林国际公寓 1房1厅 40.44平 精装装修 北,40.44,3100000,1室1厅,北,低层/22层,76657,精
875,番禺,美心花园 成熟热点小区 南向少有放盘,108,2160000,3室2厅,南,高层/7层,20000,精
876,天河,华景新城6期 复式5房.抢到就是赚到,266.84,12800000,5室2厅,南,高层/32层,47969,精
877,番禺,锦绣半岛 东南向大两房    过五低税    电梯中层,82,2600000,2室2厅,东南,中层/19层,31707,精
878,番禺,敏捷锦绣世家 精装温馨三房南向望园景你值得拥有,112.19,3200000,3室2厅,东南,高层/18层,28523,精
879,海珠,华乐苑 电梯三房 双阳台 格局方正 视野开阔 安静舒适,83,3700000,6室2厅,南北,高层/9层,44578,普通
880,增城,海伦堡花园 三房两厅、 95.63平方、东南向  随时方便看房,95.63,2150000,3室2厅,东南,中层/25层,22482,普通
881,番禺,中环品悦 高层电梯小两房 楼龄新 采光通风好 低于市场价,54.71,1900000,2室1厅,南,高层/22层,34729,精
882,天河,华景新城陶然庭苑 三房两厅 北向望花园 安静采光好 业主自住,86,5300000,3室1厅,北,低层/36层,61628,精
883,天河,嘉裕丹顿阳光 温馨两房 厅出阳台 交通便利  购物方便 ,85.23,7300000,2室1厅,南,低层/28层,85651,精
884,番禺,锦绣半岛 东区南向大三房    望江望花园   地铁22号线,146,5500000,3室2厅,南北,中层/24层,37671,精
885,番禺,花样年华 电梯三房 家电家私齐全 随时拎包入住 出入,92,2800000,3室2厅,南,中层/19层,30435,普通
886,番禺,城市花园 精致2房 居家装修 业主工作调动换房急卖,64.8,2000000,2室2厅,南,   	低层,30864,精
887,番禺,珠江花园 二房二厅 南向望江 户型好 阳光充足,70,2300000,2室2厅,西南,低层/28层,32857,精
888,番禺,广州碧桂园 西南朝向，！间隔方正实用,189,4600000,4室2厅,西北,高层/5层,24339,精
